rank,title,director,actors,genres,url
1,Alien,Ridley Scott,Tom Skerritt; Sigourney Weaver; Veronica Cartwright,"Horror, Science Fiction",https://letterboxd.com/film/alien/
2,Apocalypse Now,Francis Ford Coppola,Martin Sheen; Marlon Brando; Frederic Forrest,"Drama, War",https://letterboxd.com/film/apocalypse-now/
3,Stalker,Andrei Tarkovsky,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn,"Drama, Science Fiction",https://letterboxd.com/film/stalker/
4,All That Jazz,Bob Fosse,Roy Scheider; Jessica Lange; Ann Reinking,"Music, Drama",https://letterboxd.com/film/all-that-jazz/
5,Life of Brian,Terry Jones,Graham Chapman; John Cleese; Terry Gilliam,Comedy,https://letterboxd.com/film/life-of-brian/
6,Kramer vs. Kramer,Robert Benton,Dustin Hoffman; Meryl Streep; Jane Alexander,Drama,https://letterboxd.com/film/kramer-vs-kramer/
7,The Muppet Movie,James Frawley,Jim Henson; Frank Oz; Jerry Nelson,"Comedy, Family, Adventure",https://letterboxd.com/film/the-muppet-movie/
8,Rocky II,Sylvester Stallone,Sylvester Stallone; Talia Shire; Burt Young,Drama,https://letterboxd.com/film/rocky-ii/
9,Escape from Alcatraz,Don Siegel,Clint Eastwood; Patrick McGoohan; Roberts Blossom,"Drama, Thriller",https://letterboxd.com/film/escape-from-alcatraz/
10,Mad Max,George Miller,Mel Gibson; Joanne Samuel; Hugh Keays-Byrne,"Action, Science Fiction, Thriller",https://letterboxd.com/film/mad-max/
11,The Warriors,Walter Hill,Michael Beck; James Remar; David Patrick Kelly,"Thriller, Action",https://letterboxd.com/film/the-warriors/
12,...And Justice for All,Norman Jewison,Al Pacino; Jack Warden; John Forsythe,Drama,https://letterboxd.com/film/and-justice-for-all/
13,Moonraker,Lewis Gilbert,Roger Moore; Lois Chiles; Michael Lonsdale,"Science Fiction, Thriller, Adventure, Action",https://letterboxd.com/film/moonraker/
