rank,title,url
1,Raiders of the Lost Ark,https://letterboxd.com/film/raiders-of-the-lost-ark/
2,Possession,https://letterboxd.com/film/possession/
3,Blow Out,https://letterboxd.com/film/blow-out/
4,Thief,https://letterboxd.com/film/thief/
5,The Evil Dead,https://letterboxd.com/film/the-evil-dead/
6,Christiane F.,https://letterboxd.com/film/christiane-f/
7,Escape from New York,https://letterboxd.com/film/escape-from-new-york/
8,Friday the 13th Part 2,https://letterboxd.com/film/friday-the-13th-part-2/
9,An American Werewolf in London,https://letterboxd.com/film/an-american-werewolf-in-london/
10,Excalibur,https://letterboxd.com/film/excalibur/
11,Ms .45,https://letterboxd.com/film/ms-45/
12,My Dinner with Andre,https://letterboxd.com/film/my-dinner-with-andre/
13,My Bloody Valentine,https://letterboxd.com/film/my-bloody-valentine/
14,Mad Max 2,https://letterboxd.com/film/mad-max-2/
15,The Fox and the Hound,https://letterboxd.com/film/the-fox-and-the-hound/
16,Scanners,https://letterboxd.com/film/scanners/
17,The Great Muppet Caper,https://letterboxd.com/film/the-great-muppet-caper/
18,For Your Eyes Only,https://letterboxd.com/film/for-your-eyes-only/
19,Gallipoli,https://letterboxd.com/film/gallipoli/
20,Das Boot,https://letterboxd.com/film/das-boot/
21,History of the World: Part I,https://letterboxd.com/film/history-of-the-world-part-i/
22,Son of the White Mare,https://letterboxd.com/film/son-of-the-white-mare/
23,Polyester,https://letterboxd.com/film/polyester/
24,Halloween II,https://letterboxd.com/film/halloween-ii-1981/
25,Heavy Metal,https://letterboxd.com/film/heavy-metal/
26,Time Bandits,https://letterboxd.com/film/time-bandits/
27,The Beyond,https://letterboxd.com/film/the-beyond/
28,Stripes,https://letterboxd.com/film/stripes/
29,Body Heat,https://letterboxd.com/film/body-heat/
30,Mommie Dearest,https://letterboxd.com/film/mommie-dearest/
31,The Howling,https://letterboxd.com/film/the-howling/
32,Cutter's Way,https://letterboxd.com/film/cutters-way/
33,Outland,https://letterboxd.com/film/outland/
34,The Kiss,https://letterboxd.com/film/the-kiss-1981/
35,Reds,https://letterboxd.com/film/reds/
36,The Inquisitor,https://letterboxd.com/film/the-inquisitor/
37,Kisapmata,https://letterboxd.com/film/kisapmata/
38,Chariots of Fire,https://letterboxd.com/film/chariots-of-fire/
39,The Burning,https://letterboxd.com/film/the-burning-1981/
40,They Don't Wear Black Tie,https://letterboxd.com/film/they-dont-wear-black-tie/
41,Southern Comfort,https://letterboxd.com/film/southern-comfort/
42,The Decline of Western Civilization,https://letterboxd.com/film/the-decline-of-western-civilization/
43,Nightshift,https://letterboxd.com/film/nightshift-1981/
44,Dragonslayer,https://letterboxd.com/film/dragonslayer/
45,Don't Go in the Woods,https://letterboxd.com/film/dont-go-in-the-woods/
46,The Cabbage Soup,https://letterboxd.com/film/the-cabbage-soup/
47,Clash of the Titans,https://letterboxd.com/film/clash-of-the-titans/
48,Modern Romance,https://letterboxd.com/film/modern-romance/
49,The Prowler,https://letterboxd.com/film/the-prowler-1981/
50,The Funhouse,https://letterboxd.com/film/the-funhouse/
